jugador,cfn_id,personaje,pais,mr
Winds,3371831965,JP,Chile,1650
BLK | PlaayLe0,1117544419,Kimberly,Argentina,1650
-Sigma-,1078677466,Juri,Brasil,1650
Emiy4_,2714476334,Blanka,Argentina,1650
fonfifa,2648715674,Ken,Brasil,1650
FL.DanielYagami,1478642939,Ryu,Brasil,1650
Pizza,2352222326,Luke,Colombia,1649
Okami,3439161616,Juri,Brasil,1649
fé nas maluca,1195570945,Juri,Brasil,1649
ibukifighter,3434428763,Dee Jay,Brasil,1649
Chilenos de mrd,1178406084,JP,Argentina,1648
TiazinhaRoluda,2673895816,JP,Brasil,1648
KueSulfi,2310959896,Chun-Li,Brasil,1648
ReguxTM,4129657650,Guile,Perú,1648
VeraFischer,1355201231,Guile,Brasil,1648
MuriloSmoke,1137042071,Juri,Brasil,1648
JHONYGAMERSF6,3139947089,Blanka,Brasil,1648
ShiroiDragon,2092716360,JP,Brasil,1647
SakuraLover,3827265807,Ken,Chile,1647
younghou,1027356162,JP,Chile,1646
JUAN2425,1682961849,Luke,Colombia,1646
Predator_DJ,2781992633,Dee Jay,Perú,1646
Estivador,3254868768,Ken,Brasil,1646
AdeptusGuhh,3283261437,JP,Brasil,1645
PauloSakurai,1964384559,Zangief,Brasil,1645
vantheman25,1691961359,A.K.I.,Argentina,1645
djsaana,3573405823,Dee Jay,Brasil,1645
Marlonoly767,4002292794,Ken,Brasil,1645
Dujardin,4191127046,Juri,Brasil,1644
eDimAr,1829678546,Cammy,Brasil,1643
SHADES_BR,3169492277,JP,Brasil,1643
Ivanndif,1603275306,Manon,Argentina,1643
Nirvanes,1479493600,Jamie,Brasil,1643
pofesso,1047908885,Guile,Brasil,1643
JAH_LEXE,2986074881,Rashid,Brasil,1643
RazorPazzy,2491530985,Rashid,Chile,1643
Jet003,2282274717,Cammy,Chile,1642
Vini,2200484414,Cammy,Brasil,1642
golden_boy,3035779156,Kimberly,Brasil,1642
NeoKyo,3877607448,Kimberly,Argentina,1642
LOBISTASF,2778404269,Jamie,Brasil,1642
Atma_,3516438373,Jamie,Chile,1642
Seu Brasil,3053612879,A.K.I.,Brasil,1642
Octozooka,1867216151,E. Honda,Brasil,1641
DexVaas,2538156036,Ken,Brasil,1641
CheerRONIN,2651827349,Ken,Brasil,1641
GustavoPage,2108969751,Cammy,Brasil,1640
Setsugen,1093622327,Manon,Brasil,1640
Buff-Jaiminho,3710349576,Jamie,Brasil,1640
VINYLVITAL,4105853448,Marisa,Brasil,1640
Jimmy_Jr_Little,2994518315,Chun-Li,Brasil,1639
TENO,2671745077,Blanka,Brasil,1639
Blaz11,4153419047,Rashid,Chile,1639
yuri,2416362723,Ken,Brasil,1639
